ID,COMUNE,PRO_COM
64,Pontecagnano Faiano,65099
65,Pontecagnano Faiano,65099
66,Pontecagnano Faiano,65099
67,Salerno,65116
68,Salerno,65116
69,Salerno,65116
1,Baricella,37003
2,Baricella,37003
3,Baricella,37003
4,Baricella,37003
5,Bentivoglio,37005
6,Bologna,37006
7,Bologna,37006
8,Bologna,37006
9,Bologna,37006
10,Bologna,37006
11,Bologna,37006
12,Bologna,37006
13,Bologna,37006
14,Borgo Tossignano,37007
15,Budrio,37008
16,Budrio,37008
17,Budrio,37008
18,Budrio,37008
19,Calderara di Reno,37009
20,Castenaso,37021
21,Crevalcore,37024
22,Crevalcore,37024
23,Gaggio Montano,37027
24,Grizzana Morandi,37031
25,Imola,37032
26,Imola,37032
27,Lizzano in Belvedere,37033
28,Lizzano in Belvedere,37033
29,Loiano,37034
30,Ozzano dell’Emilia,37046
31,Ozzano dell’Emilia,37046
32,Pieve di Cento,37048
33,Pieve di Cento,37048
34,Porretta Terme,37062
35,Berra,38002
36,Ferrara,38008
37,Ferrara,38008
38,Ferrara,38008
39,Ferrara,38008
40,Ferrara,38008
41,Mesola,38014
42,Poggio Renatico,38018
43,Bagno di Romagna,40001
44,Forlì,40012
45,Forlimpopoli,40013
46,Forlimpopoli,40013
47,Forlimpopoli,40013
48,Forlimpopoli,40013
49,Portico e San Benedetto,40031
50,Premilcuore,40033
51,Sogliano al Rubicone,40046
52,Sogliano al Rubicone,40046
53,Tredozio,40049
54,Verghereto,40050
55,Verghereto,40050
56,Castelnuovo Rangone,36007
57,Fanano,36011
58,Fiorano modenese,36013
59,Lama Mocogno,36018
60,Modena,36023
61,Modena,36023
62,Modena,36023
63,Nonantola,36027
64,Palagano,36016
65,Pavullo nel Frignano,36030
66,Pavullo nel Frignano,36030
67,Pavullo nel Frignano,36030
68,Pavullo nel Frignano,36030
69,San Cesario sul Panaro,36036
70,Zocca,36047
71,Colorno,34010
72,Felino,34013
73,Fontanellato,34015
74,Fontanellato,34015
75,Monchio delle Corti,34022
76,Parma,34027
77,Parma,34027
78,Tizzano Val Parma,34039
79,Traversetolo,34042
80,Traversetolo,34042
81,Traversetolo,34042
82,Zibello,34050
83,Bobbio,33005
