ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
166,02/B094/SS/20,Sassari (Sassari),Bottidda,Pedra Ruja,"40°25'38,00''","8°57'48,00''",67,no,Quercus suber L.,Sughera,474,12.5,a) età e/o dimensioni c) valore ecologico,vigente,9.044158,40.530806
167,01/B264/SS/20,Sassari (Sassari),Bultei,Su Tassu - Sa Fraigada,"40°30'49,95''","9°04'00,52''",954,no,Pinus nigra subsp. laricio Maire,Pino laricio,306,35,d) rarità botanica,vigente,8.670519,40.475931
168,02/B264/SS/20,Sassari (Sassari),Bultei,Vivaio Fiorentini,"40°31'50,90''","9°02'38,97''",954,no,Pinus sabiniana Douglas,Pino grigio,329,32,d) rarità botanica,vigente,8.942525,40.387644
169,01/C600/SS/20,Sassari (Sassari),Cheremule,Saludus a Deus,"40°28'33,35""","8°40'13,87""",528,no,Quercus pubescens Willd.,Roverella,625,11,a) età e/o dimensioni b) forma e portamento,no,8.943575,40.388725
170,01/E285/SS/20,Sassari (Sassari),Illorai,Bia 'e Fustes,"40°23'15,52""","8°56'33,09""",820,no,Acer monspessolanum L. ,Acero minore,340,10,a) età e/o dimensioni c) valore ecologico,no,8.924806,40.388867
171,02/E285/SS/20,Sassari (Sassari),Illorai,Bia 'e Fustes,"40°23'19,41""","8°56'36,87""",802,no,Acer monspessolanum L. ,Acero minore,300,14,a) età e/o dimensioni c) valore ecologico,no,8.945139,40.391472
172,03/E285/SS/20,Sassari (Sassari),Illorai,Bilinzanas,"40°23'19,92""","8°55'29,30""",852,no,Fraxinus angustifolia Vahl subsp. oxycarpa (Willd.) Franco & Rocha Afonso,Frassino meridionale,241,21,a) età e/o dimensioni c) valore ecologico,no,8.930533,40.387239
173,04/E285/SS/20,Sassari (Sassari),Illorai,Bia 'e Fustes,"40°23'29,30""","8°56'42,50""",852,no,Hedera helix L.,Edera,120,14,a) età e/o dimensioni,no,8.940450,40.402553
174,05/E285/SS/20,Sassari (Sassari),Illorai,Bilinzanas,"40°23'14,06""","8°55'49,92""",884,no,Hedera helix L.,Edera,114,14,a) età e/o dimensioni,no,8.928497,40.406978
175,06/E285/SS/20,Sassari (Sassari),Illorai,Fonte Ladorza,"40°24'09,19""","8°56'25,62""",796,no,Quercus ilex L.,Leccio,490,16,a) età e/o dimensioni c) valore ecologico,no,8.927142,40.395753
176,07/E285/SS/20,Sassari (Sassari),Illorai,Nuraghe Muronese,"40°24'25,12""","8°55'42,59""",795,no,Quercus ilex L.,Leccio,514,14,a) età e/o dimensioni c) valore ecologico,no,8.933464,40.389117
177,08/E285/SS/20,Sassari (Sassari),Illorai,Sa Cariasa - Caddile,"40°23'44,71""","8°55'37,71""",818,no,Quercus ilex L.,Leccio,550,19,a) età e/o dimensioni c) valore ecologico,no,8.933939,40.386394
178,09/E285/SS/20,Sassari (Sassari),Illorai,Bilinzanas,"40°23'20,82""","8°56'00,47""",861,no,Quercus ilex L.,Leccio,700,13,a) età e/o dimensioni c) valore ecologico,no,8.972053,40.355572
179,10/E285/SS/20,Sassari (Sassari),Illorai,Bilinzanas,"40°23'11,02""","8°56'02,18""",820,no,Quercus ilex L.,Leccio,505,18,a) età e/o dimensioni c) valore ecologico,no,8.947244,40.394331
180,11/E285/SS/20,Sassari (Sassari),Illorai,Iscuvedè,"40°21'20,06""","8°58'19,39""",864,no,Quercus pubescens Willd.,Roverella,325,14,c) valore ecologico,no,8.944897,40.399556
181,12/E285/SS/20,Sassari (Sassari),Illorai,Nuraghe Olostru,"40°23'39,59""","8°56'50,08""",778,no,Quercus pubescens Willd.,Roverella,519,9.5,a) età e/o dimensionic) valore ecologico,no,8.942900,40.403797
182,13/E285/SS/20,Sassari (Sassari),Illorai,Nuraghe Olostru,"40°23'58,40""","8°56'41,63""",778,no,Quercus pubescens Willd.,Roverella,540,18.5,a) età e/o dimensioni c) valore ecologico,no,8.935900,40.403622
183,14/E285/SS/20,Sassari (Sassari),Illorai,Fonte Ladorza,"40°24'13,67""","8°56'34,44""",778,no,Quercus pubescens Willd.,Roverella,530,8.5,a) età e/o dimensioni c) valore ecologico,no,8.923036,40.389794
184,15/E285/SS/20,Sassari (Sassari),Illorai,Fonte Ladorza,"40°24'13,04""","8°56'09,24""",778,no,Quercus pubescens Willd.,Roverella,505,18,a) età e/o dimensioni c) valore ecologico,no,8.926394,40.389075
185,16/E285/SS/20,Sassari (Sassari),Illorai,Bilinzanas,"40°23'23,26""","8°55'22,93""",859,no,Quercus pubescens Willd.,Roverella,427,21,a) età e/o dimensioni c) valore ecologico,no,8.927792,40.406292
186,17/E285/SS/20,Sassari (Sassari),Illorai,Bilinzanas - Sa Melabrina,"40°23'20,67""","8°55'35,02""",843,no,Quercus pubescens Willd.,Roverella,770,30,a) età e/o dimensioni c) valore ecologico f) pregio paesaggistico,vigente,8.924431,40.407569
187,18/E285/SS/20,Sassari (Sassari),Illorai,Nuraghe Murones,"40°24'22,65""","8°55'40,05""",804,no,Quercus pubescens Willd.,Roverella,386,11.5,a) età e/o dimensioni c) valore ecologico,no,8.928472,40.395769
188,19/E285/SS/20,Sassari (Sassari),Illorai,Antunnales,"40°24'27,25""","8°55'27,95""",762,no,Quercus pubescens Willd.,Roverella,410,13.5,a) età e/o dimensioni c) valore ecologico,no,8.974539,40.354303
189,20/E285/SS/20,Sassari (Sassari),Illorai,Sa Cariasa - Caddile,"40°23'44,77""","8°55'42,50""",800,no,Quercus pubescens Willd.,Roverella,534,20,a) età e/o dimensioni c) valore ecologico,no,8.939081,40.392408
190,21/E285/SS/20,Sassari (Sassari),Illorai,Nuraghe Mannuri,"40°21'15,49""","8°58'28,34""",847,no,Quercus pubescens Willd.,Roverella,512,30,a) età e/o dimensioni,no,8.930319,40.387239
191,22/E285/SS/20,Sassari (Sassari),Illorai,Bia 'e Fustes – Sa Mandrade Sant'Ainzu,"40°23'32,67""","8°56'20,69""",850,no,Quercus pubescens Willd.,Roverella,640,23,a) età e/o dimensioni c) valore ecologico,no,8.931261,40.388961
192,23/E285/SS/20,Sassari (Sassari),Illorai,Bilinzanas,"40°23'14,06""","8°55'49,15""",886,no,Quercus pubescens Willd.,Roverella,730,25,a) età e/o dimensioni c) valore ecologico,no,8.970358,40.353950
193,24/E285/SS/20,Sassari (Sassari),Illorai,Bilinzanas,"40°23'20,26""","8°55'52,54""",875,no,Quercus pubescens Willd.,Roverella,592,25,a) età e/o dimensioni c) valore ecologico,no,9.461389,41.216389
194,25/E285/SS/20,Sassari (Sassari),Illorai,Iscuvudè,"40°21'14,22""","8°58'13,29""",884,no,Quercus pubescens Willd.,Roverella,464,16,a) età e/o dimensioni b) forma e portamento c) valore ecologico,no,9.191097,41.056592
195,01/E425/OT/20,Sassari (Olbia Tempio),La Maddalena,Caprera - Compendio Garibaldi,"41°12'59,00""","9°27'41,00""",40,si,Pinus pinea L.,Pino domestico,260,10,"a) età e/o dimensioni g) valore storico, culturale, religioso",vigente ,9.266892,41.008967
196,01/E747/OT/20,Sassari (Olbia Tempio),Luogosanto,Crisciuleddu,"41°03'23,73""","9°11'27,95""",166,no,Quercus suber L.,Sughera,460,20,a) età e/o dimensioni,vigente ,9.266867,41.009014
197,01/E752/OT/20,Sassari (Olbia Tempio),Luras,Li Espi,"41°00'32,28""","9°16'00,81""",225,no,Insieme omogeneo di Pistacia lentiscus L. ,Lentisco,493 (med) 572 (max),"7,5 (med) 8,0 (max)",a) età e/o dimensioni,vigente,9.255003,41.006633
198,02/E752/OT/20,Sassari (Olbia Tempio),Luras,Li Espi,"41°00'32,45""","9°16'00,72""",225,no,Olea europaea subsp. oleaster (Hoffmanns. & Link) ,Olivastro,880,11,a) età e/o dimensioni,no,9.255183,41.007300
199,03/E752/OT/20,Sassari (Olbia Tempio),Luras,Santu Baltolu,"41°00'23,88""","9°15'18,01""",235,no,Olea europaea subsp. oleaster (Hoffmanns. & Link) ,Olivastro,1154,14,a) età e/o dimensioni,vigente,9.491828,40.912822
200,04/E752/OT/20,Sassari (Olbia Tempio),Luras,Santu Baltolu,"41°00'26,28""","9°15'18,66""",235,no,Olea europaea subsp. oleaster (Hoffmanns. & Link) ,Olivastro,540,8,a) età e/o dimensioni,no,9.565975,40.784042
201,01/G015/OT/20,Sassari (Olbia Tempio),Olbia,Maria Rocca,"40°54'46,16""","9°29'30,58""",10,si,Morus nigra L.,Gelso nero,450,8,a) età e/o dimensioni b) forma e portamento,no,9.567228,40.785672
202,01/M301/OT/20,Sassari (Olbia Tempio),Padru,Budò,"40°47'02,55""","9°33'57,51""",159,no,Olea europaea subsp. oleaster (Hoffmanns. & Link) ,Olivastro,700,10,a) età e/o dimensioni b) forma e portamento,no,8.514769,40.768517
203,02/M301/OT/20,Sassari (Olbia Tempio),Padru,Budò,"40°47'08,42""","9°34'02,02""",161,no,Pyrus pyraster (L.) Burgsd.,Pero selvatico,190,9,a) età e/o dimensioni b) forma e portamento,no,8.289992,40.746658
204,01/I452/SS/20,Sassari (Sassari),Sassari,Mandra di la Giua,"40°46'06,66""","8°30'53,17""",82,no,Cupressus macrocarpa Hartw.,Cipresso di Monterey,630,12,a) età e/o dimensioni b) forma e portamento,no,8.549328,40.718550
205,02/I452/SS/20,Sassari (Sassari),Sassari,Pala Marrone,"40°44'47,97""","8°17'23,97""",160,no,Quercus ilex L.,Leccio,492,18,a) età e/o dimensioni,no,8.248308,40.764547
206,03/I452/SS/20,Sassari (Sassari),Sassari,San Pietro in Silki,"40°43'06,78""","8°32'57,58""",188,si,Quercus ilex L.,Leccio,415,14,a) età e/o dimensioni,no,9.151153,40.850958
207,04/I452/SS/20,Sassari (Sassari),Sassari,Monti di Bidda,"40°45'52,37""","8°14'53,91""",95,no,Tamarix africana Poir.,Tamerice maggiore,380,8,a) età e/o dimensioni d) rarità botanica,no,8.693239,40.864014
208,01/L093/OT/20,Sassari (Olbia Tempio),Tempio Pausania,Vallicciola,"40°51'03,45''","9°09'04,15''",1054,no,Insieme omogeneo di Sequoia sempervirens (D. Don) Endl.,Sequoia sempreverde,248 (med) 325 (max) ,"29,0 (med) 35,0 (max)","a) età e/o dimensioni d) rarità botanica f) pregio paesaggistico g) valore stroico, culturale, religioso",vigente ,8.694069,40.866161
209,01/M282/SS/20,Sassari (Sassari),Tergu,Ciricu,"40°51'50,45""","8°41'35,66""",303,no,Quercus ilex L.,Leccio,590,11,a) età e/o dimensioni c) valore ecologico,no,8.724756,40.880850
210,02/M282/SS/20,Sassari (Sassari),Tergu,Ciricu,"40°51'58,18""","8°41'38,65""",276,no,Quercus ilex L.,Leccio,435,15.5,a) età e/o dimensioni c) valore ecologico,no,9.016483,39.691017
211,03/M282/SS/20,Sassari (Sassari),Tergu,Agriturismo la Fattoria,"40°52'51,06""","8°43'29,12""",205,no,Quercus pubescens Willd.,Roverella,455,18,a) età e/o dimensioni c) valore ecologico,no,8.415506,39.440614
212,01/A681/VS/20,Sud Sardegna (Medio Campidano),Barumini,Ponti,"39°41'27,66""","9°00'59,34""",165,no,Fraxinus angustifolia Vahl,Frassino meridionale ,300,18,a) età e/o dimensioni b) forma e portamento,no,8.440494,39.443125
213,01/B250/CI/20,Sud Sardegna (Carbonia-Iglesias),Buggerru,Su Medau de Duiliu,"39°26'26,21""","8°24'55,82""",40,no,Juniperus oxycedrus L.,Ginepro coccolone,274,7,a) età e/o dimensioni b) forma e portamento c) valore ecologico f) pregio paesaggistico,vigente,8.421372,39.442444
214,02/B250/CI/20,Sud Sardegna (Carbonia-Iglesias),Buggerru,Gutturu Mandara,"39°26'35,25""","8°26'25,78""",78,no,Olea europaea L.,Olivo,435,6,a) età e/o dimensioni b) forma e portamento,no,8.439278,39.461403
215,03/B250/CI/20,Sud Sardegna (Carbonia-Iglesias),Buggerru,Su Landiri Marru,"39°26'32,80""","8°25'16,94""",62,no,Pinus pinea L.,Pino domestico,510,17,a) età e/o dimensioni,no,8.501139,39.453564
216,01/D639/CI/20,Sud Sardegna (Carbonia-Iglesias),Fluminimaggiore,Fighezia,"39°27'41,05""","8°26'21,40""",164,no,Juniperus oxycedrus L.,Ginepro coccolone,280,8,a) età e/o dimensioni b) forma e portamento,no,8.501122,39.390761
217,02/D639/CI/20,Sud Sardegna (Carbonia-Iglesias),Fluminimaggiore,Fighezia,"39°27'12,83""","8°30'04,10""",48,no,Pinus pinea L.,Pino domestico,470,15,a) età e/o dimensioni,no,8.502678,39.392606
218,03/D639/CI/20,Sud Sardegna (Carbonia-Iglesias),Fluminimaggiore,Antas,"39°23'26,74""","8°30'04,04""",375,no,Quercus pubescens Willd.,Roverella,270,13,b) forma e portamento d) rarità botanica ,no,8.513972,39.441525
219,04/D639/CI/20,Sud Sardegna (Carbonia-Iglesias),Fluminimaggiore,Antas,"39°23'33,38""","8°30'09,64""",387,no,Quercus suber L.,Sughera,470,10,a) età e/o dimensioni b) forma e portamento,no,8.492378,39.448444
220,05/D639/CI/20,Sud Sardegna (Carbonia-Iglesias),Fluminimaggiore,Caunsedda,"39°26'29,49""","8°30'50,30""",220,no,Olea europaea L.,Olivo,560,8,a) età e/o dimensioni b) forma e portamento,no,8.923772,39.739739
221,06/D639/CI/20,Sud Sardegna (Carbonia-Iglesias),Fluminimaggiore,Genna Cinixiu,"39°26'54,40""","8°29'32,56""",150,no,Olea europaea L.,Olivo,700,7,a) età e/o dimensioni b) forma e portamento c) valore ecologico,no,8.928653,39.742089
222,01/D970/VS/20,Sud Sardegna (Medio Campidano),Genuri,Porcilis,"39°44'23,06""","8°55'25,58""",227,no,Olea europaea L.,Olivo,620,6,a) età e/o dimensioni b) forma e portamento,no,8.923989,39.746231
223,02/D970/VS/20,Sud Sardegna (Medio Campidano),Genuri,Mitza Salida - San Marco,"39°44'31,52""","8°55'43,15""",235,no,Olea europaea L.,Olivo,460,6.5,a) età e/o dimensioni,no,8.918514,39.743881
224,03/D970/VS/20,Sud Sardegna (Medio Campidano),Genuri,Chiesa San Domino ,"39°44'46,43""","8°55'26,36""",240,si,Olea europaea L.,Olivo,470,6,a) età e/o dimensioni b) forma e portamento,no,9.055108,39.739250
225,04/D970/VS/20,Sud Sardegna (Medio Campidano),Genuri,Zinnigas - Cungiau Antoni Casu,"39°44'37,97""","8°55'06,65""",235,no,Olea europaea L.,Olivo,600,4,a) età e/o dimensioni b) forma e portamento,no,9.037406,39.715397
226,01/D997/VS/20,Sud Sardegna (Medio Campidano),Gesturi,Ortu de Corti,"39°42'54,63""","9°02'9.,6'""",195,no,Eucalyptus globulus Labill.,Eucalitto blu,580,30,a) età e/o dimensioni,vigente,8.592856,39.469558
