ID,N. SCHEDA,PROVINCIA,COMUNE,LOCALITÀ,LATITUDINE su GIS,LONGITUDINE su GIS,ALTITUDINE (m s.l.m.),CONTESTO URBANO sì/no,NOME SCIENTIFICO,NOME VOLGARE,CIRCONFERENZA FUSTO (cm),ALTEZZA (m),CRITERI DI MONUMENTALITÀ,PROPOSTA DICHIARAZIONE NOTEVOLE INTERESSE PUBBLICO,longitude,latitude
126,08/l483/UD/06,Udine,Udine,Giardini Ricasoli,"46°03'46,00""","13°14'23,15""",173,si ,Cedrus atlantica (Endl.) Manetti ex Carrière,Cedro dell'Atlante ,473,25,a) età e/o dimensioni f) forma e portamento,no,13.238903,46.063742
127,12/l483/UD/06,Udine,Udine,Piazza del Patriarcato,"46°03'49,47""","13°14'20,05""",171,si ,Morus alba L.,Gelso bianco,393,13,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,si,13.239253,46.063817
128,13/l483/UD/06,Udine,Udine,Piazza del Patriarcato,"46°03'49,74""","13°14'21,31""",171,si,Calocedrus decurrens (Torr.) Florin,Libocedro,694,20,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,si,13.239778,46.063447
129,14/l483/UD/06,Udine,Udine,Giardini Ricasoli,"46°03'48,41""","13°14'23,20""",171,si,Insieme omogeneo di Torreya nucifera Siebold & Zucc.,Tasso del Giappone ,320 (med) 334 (max),"20,0 (med) 22,0 (max)",d) rarità botanica f) pregio paesaggistico,si,13.229472,46.071136
130,16/l483/UD/06,Udine,Udine,Piazzale Diacono,"46°04'16,09""","13°13'46,10""",172,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,570,31,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico ,no,13.228164,46.063333
131,17/l483/UD/06,Udine,Udine,Via Marco Volpe,"46°03'48,00"" ","13°13'41,39""",172,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,610,35,a) età e/o dimensioni b) forma e portamento ,si,13.227767,46.063911
132,18/l483/UD/06,Udine,Udine,Via Marco Volpe,"46°03'50,08''","13°13'39,96""",172,si,Cedrus deodara (D.Don) G.Don ,Cedro dell'Himalaya,430,32,a) età e/o dimensioni b) forma e portamento ,no,13.237222,46.064644
133,22/l483/UD/06,Udine,Udine,Giardini del Castello,"46°03'52,72""","13°14'14,00""",224,si,Celtis australis L.,Bagolaro ,448,22,a) età e/o dimensioni c) valore ecologico e) architettura vegetale f) pregio paesaggistico ,no,13.246453,46.054614
134,23/l483/UD/06,Udine,Udine,Viale Palmanova ,"46°03'16,61""","13°14'47,23""",172,si,Platanus acerifolia (Aiton) Willd.,Platano comune,508,32,a) età e/o dimensioni b) forma e portamento f) pregio paesaggistico,si,13.236019,46.069383
135,25/l483/UD/06,Udine,Udine,Parco della Rimembranza," 46°04'09,78""","13°14'09,67""",175,si ,Insieme omogeneo di Elaeagnus x reflexa E. Morren. & Decne ,Eleagno ibrido,n. 40 esemplari con piccole circonferenze dei fusti,8,b) forma e portamento d) rarità botanica e) architettura vegetale ,si,13.186381,46.082642
136,26/l483/UD/06,Udine,Udine,Parco Cormor," 46°04'57,51""","13°11'10,97""",160,si,Populus nigra L.,Pioppo nero,400,24,a) età e/o dimensioni f) pregio paesaggistico,no,13.236847,46.062661
137,27/l483/UD/06,Udine,Udine,Piazza del Duomo,"46°03'45,58''","13°14'12,65''",108,si,Cedrus brevifolia (Hook.f.) Elwes & A. Henry ,Cedro di Cipro,300,25,d) rarità botanica,no,13.245850,46.058036
138,28/l483/UD/06,Udine,Udine ,Piazzale Gabriele D'Annunzio," 46°03'28,93"" ","13°14'45,06""",170,si,Cupressus cashmeriana Royle ex Carrière,Cipresso del Cashmere,300,20,d) rarità botanica,no,12.988622,45.888569
139,01/L686/UD(06,Udine,Varmo,Villa Canciani,"45°53'18,85"" ","12°59'19,04"" ",18,no,Quercus robur L.,Farnia,580,29,a) età e/o dimensioni,no,,
